Year,Month,Day,Hour,latitude,longitute,longitude,qa_value,nitrogendioxide_tropospheric_column,nitrogendioxide_tropospheric_column_precision,nitrogendioxide_tropospheric_column_precision_kernel,air_mass_factor_troposphere,air_mass_factor_total,tm5_tropopause_layer_index
2021.0,9.0,16.0,12.0,51.054012298583984,12.988842,12.988842010498047,0.00739999992996454,6.286286952672526e-05,3.251596717745997e-05,2.9986973459017463e-05,0.5912033915519714,1.3757237195968628,16.0
2021.0,9.0,16.0,12.0,51.060325622558594,13.048506,13.048505783081055,0.00739999992996454,7.159761298680678e-05,3.768755050259642e-05,3.486119021545164e-05,0.6531786322593689,1.415252685546875,16.0
2021.0,9.0,16.0,12.0,51.06660842895508,13.108439,13.108439445495605,0.00739999992996454,5.976324246148579e-05,2.8971136998734437e-05,2.639054764586035e-05,0.6774569749832153,1.4310038089752197,16.0
2021.0,9.0,16.0,12.0,51.072853088378906,13.168648,13.168647766113281,0.00739999992996454,6.935820420039818e-05,3.620070856413804e-05,3.343753996887244e-05,0.6333452463150024,1.4035016298294067,16.0
2021.0,9.0,16.0,12.0,51.079063415527344,13.2291355,13.229135513305664,0.00739999992996454,6.77119314786978e-05,3.548301901901141e-05,3.279708107584156e-05,0.6455881595611572,1.4122509956359863,16.0
2021.0,9.0,16.0,12.0,51.085235595703125,13.289904,13.28990364074707,0.00739999992996454,6.0559683333849534e-05,2.9539221941377036e-05,2.6941912437905557e-05,0.6626695394515991,1.4230934381484985,16.0
2021.0,9.0,16.0,12.0,51.091373443603516,13.350962,13.350961685180664,0.00739999992996454,6.973872223170474e-05,3.304491110611707e-05,2.9957078368170187e-05,0.6351486444473267,1.4065836668014526,16.0
2021.0,9.0,16.0,12.0,51.09748077392578,13.412313,13.412313461303711,0.00739999992996454,7.902766083134338e-05,2.9775408620480448e-05,2.5234105123672634e-05,0.581956148147583,1.3744211196899414,16.0
2021.0,9.0,16.0,12.0,51.10354995727539,13.473961,13.473960876464844,0.00739999992996454,8.565553434891626e-05,3.327281592646614e-05,2.852376928785816e-05,0.5521724820137024,1.3570624589920044,16.0
2021.0,9.0,16.0,12.0,51.109580993652344,13.535914,13.535914421081543,0.00739999992996454,7.422203634632751e-05,3.383487637620419e-05,3.0404644348891452e-05,0.620730996131897,1.4022380113601685,16.0
2021.0,9.0,16.0,12.0,51.115577697753906,13.598174,13.598174095153809,0.00739999992996454,7.425329386023805e-05,3.2813150028232485e-05,2.926022352767177e-05,0.760741114616394,1.4933693408966064,16.0
2021.0,9.0,16.0,12.0,51.12154006958008,13.660748,13.660747528076172,0.00739999992996454,7.010995614109561e-05,3.0482517104246654e-05,2.7065987524110824e-05,0.7917054891586304,1.5167088508605957,16.0
2021.0,9.0,16.0,12.0,51.12746047973633,13.7236395,13.723639488220215,0.00739999992996454,7.604862912558019e-05,3.2743035262683406e-05,2.8996042601647787e-05,0.7791313529014587,1.5123944282531738,16.0
2021.0,9.0,16.0,12.0,51.13334274291992,13.786858,13.786857604980469,0.00739999992996454,7.476064638467506e-05,3.108934834017418e-05,2.7257687179371715e-05,0.7992094159126282,1.5278791189193726,16.0
2021.0,9.0,16.0,12.0,51.13919448852539,13.850405,13.850404739379883,0.00739999992996454,6.643988308496773e-05,2.7445381419965997e-05,2.4014132577576675e-05,0.8250666260719299,1.5476205348968506,16.0
2021.0,9.0,16.0,12.0,51.003875732421875,12.104518,12.104517936706543,0.00739999992996454,4.4775966671295464e-05,1.9976037947344594e-05,1.7856275007943623e-05,0.8644878268241882,1.5584596395492554,16.0
2021.0,9.0,16.0,12.0,51.01068878173828,12.160715,12.160715103149414,0.00739999992996454,5.167074050405063e-05,2.2741061911801808e-05,2.025737558142282e-05,0.7997497916221619,1.5169237852096558,16.0
2021.0,9.0,16.0,12.0,51.017478942871094,12.217121,12.217121124267578,0.00739999992996454,6.182576180435717e-05,2.7659461920848116e-05,2.4741641027503647e-05,0.7711313962936401,1.4972612857818604,16.0
2021.0,9.0,16.0,12.0,51.024234771728516,12.273735,12.273735046386719,0.00739999992996454,6.725174171151593e-05,3.1660656532039866e-05,2.866156501113437e-05,0.7386448383331299,1.475445032119751,16.0
2021.0,9.0,16.0,12.0,51.030948638916016,12.330566,12.33056640625,0.00739999992996454,7.453100988641381e-05,3.6450132029131055e-05,3.3262847864534706e-05,0.6974815726280212,1.4480922222137451,16.0
2021.0,9.0,16.0,12.0,51.037635803222656,12.387615,12.387615203857422,0.00739999992996454,7.363183976849541e-05,3.678632856463082e-05,3.3710057323332876e-05,0.6905909180641174,1.4415881633758545,16.0
